Accident_ID,Date,Time,Weather,Road_Condition,Road_Type,Traffic_Density,Speed_Limit,Vehicle_Type,Driver_Age,Light_Condition,Number_of_Vehicles,Number_of_Casualties,Accident_Severity
ACC0040,2025-09-01,19:47,Foggy,Dry,Rural Road,Medium,40,Bus,47.0,Daylight,4,2,Moderate
ACC0041,2025-11-16,21:12,Rainy,Dry,Highway,Low,30,Bike,20.0,Daylight,1,0,Minor
ACC0042,2025-05-11,18:48,Clear,Dry,City Road,High,50,Bus,38.0,Daylight,2,1,Minor
ACC0043,2025-11-03,03:11,Rainy,Dry,Highway,Medium,50,Bike,42.0,Night,1,1,Minor
ACC0044,2025-05-15,08:18,Clear,Wet,Rural Road,Medium,60,Truck,37.0,Street Light,3,0,Moderate
ACC0045,2025-01-21,11:08,Clear,Wet,City Road,Medium,50,Car,66.0,Daylight,3,1,Moderate
ACC0046,2025-11-25,06:27,Cloudy,Wet,Intersection,Medium,80,Car,69.0,Night,1,5,Moderate
ACC0047,2025-06-16,13:30,Clear,Dry,Highway,High,40,Car,39.0,Daylight,1,5,Moderate
ACC0048,2025-10-01,19:18,Cloudy,Dry,Highway,High,30,Bike,38.0,Daylight,2,1,Minor
ACC0049,2025-03-30,14:15,Clear,Potholes,Highway,Medium,80,Bike,50.0,Street Light,1,0,Moderate
ACC0050,2025-11-12,20:04,Clear,Dry,Highway,High,40,Truck,69.0,Daylight,4,1,Moderate
ACC0051,2025-01-14,02:11,Rainy,Dry,Highway,High,70,Bike,55.0,Daylight,4,1,Severe
ACC0052,2025-08-30,19:58,Cloudy,Dry,Intersection,Medium,100,Bike,32.0,Daylight,1,4,Moderate
ACC0053,2025-09-22,20:35,Foggy,Dry,Highway,High,60,Car,63.0,Daylight,4,1,Moderate
ACC0054,2025-12-12,20:22,Foggy,Dry,Highway,Low,50,Bike,69.0,Daylight,1,3,Moderate
ACC0055,2025-02-22,15:56,Rainy,Dry,Rural Road,Low,70,Bike,32.0,Daylight,2,1,Moderate
ACC0056,2025-12-06,06:44,Rainy,Wet,City Road,High,50,Car,63.0,Night,4,5,Severe
ACC0057,2025-04-02,20:41,Foggy,Dry,Rural Road,Medium,80,Car,42.0,Daylight,4,1,Moderate
ACC0058,2025-09-21,06:13,Clear,Wet,Highway,High,30,Car,38.0,Night,1,3,Moderate
ACC0059,2025-02-04,04:34,Rainy,Wet,City Road,High,30,Car,41.0,Daylight,4,1,Severe
ACC0060,2025-07-25,22:28,Clear,Potholes,Highway,Low,30,Bike,22.0,Daylight,3,2,Moderate
ACC0061,2025-03-22,10:10,Cloudy,Wet,Highway,High,50,Car,23.0,Night,2,1,Moderate
ACC0062,2025-02-19,17:46,Cloudy,Icy,Intersection,Medium,70,Bus,66.0,No Light,2,1,Moderate
ACC0063,2025-12-26,11:08,Clear,Dry,Highway,Medium,30,Truck,60.0,Daylight,4,4,Moderate
ACC0064,2025-01-02,09:57,Foggy,Dry,City Road,Medium,70,Bike,65.0,Street Light,4,4,Severe
ACC0065,2025-02-23,11:16,Cloudy,Dry,City Road,High,50,Auto,61.0,Night,3,4,Moderate
ACC0066,2025-04-16,05:06,Clear,Wet,City Road,Low,80,Bike,64.0,Night,3,2,Severe
ACC0067,2025-09-17,13:12,Rainy,Potholes,Rural Road,Medium,70,Bike,40.0,Night,4,3,Severe
ACC0068,2025-11-06,07:41,Cloudy,Dry,Highway,Medium,80,Auto,21.0,Daylight,4,0,Moderate
ACC0069,2025-07-10,08:49,Clear,Icy,City Road,High,50,Car,44.0,Daylight,3,1,Moderate
ACC0070,2025-08-06,01:04,Rainy,Dry,Intersection,Medium,50,Auto,35.0,Night,1,1,Minor
ACC0071,2025-02-13,04:37,Clear,Icy,City Road,Low,60,Car,38.0,Daylight,3,2,Moderate
ACC0072,2025-06-11,18:07,Cloudy,Dry,Intersection,Medium,50,Bike,45.0,Street Light,1,1,Minor
ACC0073,2025-07-21,15:44,Cloudy,Dry,Highway,Medium,50,Car,52.0,Daylight,2,1,Minor
ACC0074,2025-09-27,00:21,Cloudy,Dry,City Road,High,40,Bus,39.0,Daylight,2,2,Moderate
ACC0075,2025-12-17,19:16,Rainy,Dry,Highway,Medium,30,Bike,57.0,Night,3,3,Moderate
ACC0076,2025-10-31,06:24,Cloudy,Dry,Rural Road,Low,60,Bus,40.0,Daylight,1,1,Minor
ACC0077,2025-09-28,12:03,Foggy,Dry,Intersection,High,100,Car,20.0,Night,3,1,Severe
ACC0078,2025-08-03,03:05,Clear,Potholes,Highway,Low,60,Car,57.0,Night,3,1,Moderate
ACC0079,2025-09-09,18:43,Foggy,Dry,City Road,High,60,Car,67.0,Street Light,1,1,Moderate
ACC0080,2025-07-09,21:38,Clear,Dry,Highway,Medium,100,Car,27.0,Street Light,3,1,Moderate
ACC0081,2025-10-23,09:25,Rainy,Wet,City Road,High,40,Auto,42.0,Night,2,2,Severe
ACC0082,2025-08-01,18:38,Clear,Wet,City Road,Medium,80,Car,69.0,Night,4,2,Severe
ACC0083,2025-07-27,02:44,Clear,Dry,Intersection,Low,50,Truck,66.0,Street Light,4,2,Moderate
ACC0084,2025-08-25,12:49,Clear,Dry,City Road,High,30,Truck,25.0,Daylight,3,1,Moderate
ACC0085,2025-12-04,19:27,Rainy,Dry,City Road,High,70,Car,28.0,Daylight,1,3,Severe
ACC0086,2025-02-22,07:40,Clear,Dry,Highway,High,100,Bike,22.0,Daylight,1,1,Moderate
ACC0087,2025-10-07,06:00,Foggy,Wet,Highway,Low,80,Car,62.0,Daylight,2,2,Severe
ACC0088,2025-08-05,02:12,Clear,Dry,Highway,High,100,Car,70.0,Night,1,3,Moderate
ACC0089,2025-09-09,16:24,Clear,Dry,Highway,High,50,Car,54.0,Night,1,1,Minor
ACC0090,2025-07-07,23:32,Rainy,Wet,Rural Road,Medium,40,Bike,62.0,Night,2,1,Moderate
ACC0091,2025-02-10,05:52,Foggy,Dry,City Road,High,100,Bike,55.0,Daylight,3,4,Severe
ACC0092,2025-06-06,05:57,Clear,Wet,City Road,High,50,Bike,46.0,Night,4,1,Moderate
ACC0093,2025-01-15,11:44,Rainy,Dry,Highway,Medium,50,Bike,22.0,Daylight,2,2,Moderate
ACC0094,2025-10-28,12:46,Cloudy,Icy,Rural Road,Low,40,Car,26.0,Night,3,0,Moderate
ACC0095,2025-03-06,20:15,Rainy,Dry,Rural Road,Medium,60,Bike,65.0,Night,2,2,Moderate
ACC0096,2025-12-11,21:20,Clear,Potholes,Highway,Low,60,Bus,19.0,Daylight,3,1,Moderate
ACC0097,2025-11-23,10:59,Clear,Wet,Rural Road,Medium,30,Car,18.0,Daylight,2,0,Minor
ACC0098,2025-01-09,04:35,Cloudy,Dry,City Road,Medium,30,Car,57.0,Daylight,3,2,Moderate
ACC0099,2025-12-10,02:18,Clear,Wet,Highway,Low,60,Bus,68.0,Street Light,2,1,Minor
ACC0100,2025-05-09,19:56,Cloudy,Icy,City Road,Medium,80,Car,47.0,Street Light,3,1,Moderate
ACC0101,2025-05-16,17:46,Rainy,Wet,City Road,Low,70,Bike,28.0,Night,2,0,Moderate
ACC0102,2025-03-04,08:48,Cloudy,Potholes,Highway,High,50,Car,45.0,Daylight,4,1,Moderate
ACC0103,2025-05-19,13:14,Foggy,Potholes,Intersection,High,70,Car,61.0,Daylight,4,1,Severe
ACC0104,2025-03-22,00:52,Cloudy,Dry,Rural Road,Low,50,Car,29.0,Night,1,0,Minor
ACC0105,2025-06-12,21:53,Clear,Dry,City Road,High,60,Car,56.0,Street Light,3,4,Moderate
ACC0106,2025-10-16,02:15,Foggy,Wet,City Road,Medium,30,Bike,43.0,Daylight,2,0,Moderate
ACC0107,2025-09-18,22:56,Clear,Dry,City Road,Medium,80,Bike,30.0,Daylight,3,2,Moderate
ACC0108,2025-08-19,10:11,Rainy,Potholes,City Road,Low,30,Bus,25.0,Night,4,1,Moderate
ACC0109,2025-02-10,09:31,Rainy,Potholes,City Road,Medium,70,Truck,45.0,Daylight,3,1,Severe
ACC0110,2025-01-28,15:07,Cloudy,Dry,Highway,High,30,Bike,47.0,Daylight,2,4,Moderate
ACC0111,2025-05-15,05:11,Cloudy,Dry,City Road,High,60,Bus,26.0,Daylight,3,1,Moderate
ACC0112,2025-07-20,23:27,Foggy,Wet,Rural Road,Low,80,Car,56.0,Night,2,5,Severe
ACC0113,2025-11-24,20:07,Clear,Dry,City Road,Low,70,Bike,48.0,Street Light,4,1,Moderate
ACC0114,2025-09-25,03:25,Clear,Potholes,Highway,Medium,80,Bus,38.0,No Light,4,3,Severe
ACC0115,2025-02-02,07:57,Foggy,Dry,Rural Road,Medium,50,Car,64.0,Night,4,2,Moderate
ACC0116,2025-02-17,17:27,Clear,Wet,Highway,Low,30,Bike,51.0,Night,1,4,Moderate
ACC0117,2025-03-03,04:40,Clear,Dry,Highway,Medium,80,Car,48.0,Daylight,4,2,Moderate
ACC0118,2025-08-04,03:26,Clear,Wet,Highway,High,40,Bike,69.0,Night,3,2,Severe
ACC0119,2025-10-20,21:16,Clear,Dry,City Road,High,30,Truck,42.0,Daylight,1,1,Minor
ACC0120,2025-04-09,08:32,Clear,Wet,Rural Road,Medium,50,Truck,29.0,Night,4,1,Moderate
ACC0121,2025-06-21,20:19,Clear,Dry,City Road,High,80,Bus,18.0,Daylight,3,4,Severe
ACC0122,2025-12-26,12:27,Clear,Wet,Highway,Medium,70,Bus,39.0,Daylight,3,1,Moderate
ACC0123,2025-08-02,15:28,Clear,Potholes,Rural Road,Medium,50,Bike,57.0,Daylight,3,1,Moderate
ACC0124,2025-02-04,12:45,Cloudy,Dry,Rural Road,Low,40,Bike,54.0,Daylight,2,3,Minor
ACC0125,2025-08-15,02:05,Clear,Dry,Rural Road,Medium,80,Car,64.0,Daylight,1,1,Minor
ACC0126,2025-04-11,17:50,Clear,Dry,Highway,High,100,Bike,18.0,Daylight,3,5,Severe
ACC0127,2025-05-11,04:46,Rainy,Wet,City Road,Medium,100,Bike,18.0,No Light,2,3,Severe
ACC0128,2025-09-14,01:09,Clear,Wet,Intersection,Medium,60,Auto,59.0,Daylight,4,2,Moderate
ACC0129,2025-01-05,23:29,Cloudy,Dry,Rural Road,Medium,30,Bike,59.0,Night,3,4,Moderate
ACC0130,2025-08-06,17:58,Foggy,Dry,Highway,Low,70,Bike,38.0,Street Light,2,0,Moderate
ACC0131,2025-09-12,12:04,Clear,Dry,Highway,High,60,Bike,32.0,No Light,3,1,Moderate
ACC0132,2025-12-25,22:55,Clear,Wet,City Road,Medium,80,Bike,34.0,Night,1,2,Moderate
ACC0133,2025-10-10,00:53,Cloudy,Dry,Intersection,Medium,100,Bus,39.0,Street Light,1,1,Minor
ACC0134,2025-07-26,00:17,Cloudy,Icy,City Road,Medium,100,Car,55.0,Daylight,4,3,Severe
ACC0135,2025-01-15,14:48,Rainy,Dry,City Road,Medium,100,Bike,52.0,Daylight,3,4,Severe
ACC0136,2025-12-12,10:20,Rainy,Wet,Highway,Low,80,Truck,62.0,Daylight,2,1,Moderate
ACC0137,2025-02-11,21:58,Clear,Dry,City Road,Medium,100,Bike,33.0,Night,4,1,Moderate
ACC0138,2025-06-28,16:12,Cloudy,Dry,Rural Road,Low,50,Car,25.0,Night,3,5,Moderate
ACC0139,2025-03-04,00:33,Clear,Wet,City Road,High,80,Bike,64.0,Daylight,4,1,Severe
ACC0140,2025-12-18,08:34,Cloudy,Wet,Rural Road,High,70,Truck,34.0,Daylight,2,2,Severe
ACC0141,2025-08-19,00:20,Rainy,Icy,Intersection,High,60,Car,34.0,Night,4,1,Severe
ACC0142,2025-08-29,15:54,Rainy,Dry,Highway,Medium,70,Bus,43.0,Daylight,4,4,Severe
ACC0143,2025-02-21,05:27,Rainy,Dry,City Road,Medium,40,Truck,30.0,Night,4,2,Moderate
ACC0144,2025-04-06,16:04,Clear,,Highway,Low,100,Bike,34.0,Night,3,3,Severe
ACC0145,2025-08-10,04:37,Clear,Wet,Rural Road,High,40,Auto,55.0,Night,2,3,Moderate
ACC0146,2025-08-19,02:52,Clear,Dry,City Road,Medium,30,Truck,34.0,Street Light,1,1,Minor
ACC0147,2025-08-25,22:36,Clear,Dry,City Road,Medium,30,Bus,65.0,Street Light,3,1,Minor
ACC0148,2025-05-23,20:36,Foggy,Dry,Rural Road,Medium,40,Bus,31.0,Daylight,1,3,Moderate
ACC0149,2025-06-20,09:09,Clear,Potholes,City Road,Low,80,Car,62.0,Night,1,1,Moderate
ACC0150,2025-01-29,18:16,Clear,Dry,Intersection,Medium,70,Car,23.0,Night,3,3,Moderate
ACC0151,2025-02-05,20:13,Cloudy,Dry,City Road,Low,40,Bike,52.0,Daylight,3,4,Moderate
ACC0152,2025-01-13,08:45,Cloudy,Dry,Highway,High,30,Car,63.0,Daylight,2,2,Moderate
ACC0153,2025-06-09,00:50,Cloudy,Dry,City Road,Medium,40,Bike,31.0,Daylight,2,3,Minor
ACC0154,2025-11-23,12:12,Cloudy,Dry,Rural Road,Low,80,Truck,64.0,Daylight,4,3,Moderate
ACC0155,2025-07-06,03:00,Clear,Dry,City Road,Medium,40,Truck,25.0,Night,1,3,Minor
ACC0156,2025-08-31,16:39,Clear,Dry,Rural Road,Low,70,Bike,32.0,Street Light,2,1,Minor
ACC0157,2025-03-27,01:27,Foggy,Potholes,Intersection,Medium,60,Truck,44.0,Daylight,4,0,Moderate
ACC0158,2025-10-11,07:38,Rainy,Dry,Highway,High,80,Truck,30.0,Daylight,2,1,Moderate
ACC0159,2025-03-07,01:53,Clear,Dry,Intersection,Low,30,Bike,66.0,No Light,3,2,Moderate
ACC0160,2025-06-19,21:02,Foggy,Potholes,Highway,High,70,Car,48.0,Daylight,2,2,Severe
ACC0161,2025-02-14,17:11,Clear,Wet,Highway,Low,40,Bike,70.0,Daylight,1,3,Moderate
ACC0162,2025-03-03,00:53,Clear,Dry,Highway,Low,40,Bus,52.0,Night,2,1,Minor
ACC0163,2025-05-14,11:04,Rainy,Dry,Rural Road,High,60,Bike,23.0,Night,1,2,Moderate
ACC0164,2025-10-11,16:47,Rainy,Dry,City Road,Medium,30,Bike,22.0,Daylight,3,1,Moderate
ACC0165,2025-01-28,14:22,Rainy,Wet,Highway,Low,30,Car,39.0,Daylight,1,3,Moderate
ACC0166,2025-04-18,14:36,Clear,Icy,City Road,Medium,50,Bus,66.0,Daylight,2,2,Moderate
ACC0167,2025-02-13,20:13,Cloudy,Wet,City Road,Medium,30,Truck,40.0,Night,4,1,Moderate
ACC0168,2025-12-06,01:10,Clear,Wet,Highway,High,60,Bus,42.0,Night,3,1,Moderate
ACC0169,2025-10-13,18:38,Clear,Wet,Rural Road,Medium,100,Auto,51.0,Daylight,2,3,Moderate
ACC0170,2025-11-27,05:59,Cloudy,Dry,Rural Road,High,50,Truck,43.0,Night,3,2,Moderate
ACC0171,2025-05-08,01:37,Cloudy,Dry,City Road,High,50,Auto,64.0,Street Light,3,1,Moderate
ACC0172,2025-12-14,17:33,Cloudy,Wet,Intersection,Medium,40,Auto,22.0,Daylight,2,5,Moderate
ACC0173,2025-08-19,17:29,Foggy,Icy,City Road,High,40,Truck,43.0,Daylight,2,3,Severe
ACC0174,2025-07-09,14:26,Rainy,Dry,Intersection,Medium,30,Bike,37.0,Night,4,5,Moderate
ACC0175,2025-08-13,18:33,Rainy,Wet,City Road,High,50,Car,23.0,Daylight,3,1,Severe
ACC0176,2025-10-10,19:56,Clear,Dry,City Road,Low,40,Bike,23.0,Daylight,3,2,Moderate
ACC0177,2025-05-01,05:32,Clear,Dry,Highway,Medium,60,Bike,67.0,Night,2,4,Minor
ACC0178,2025-04-26,23:14,Clear,Dry,Rural Road,Medium,40,Car,35.0,Street Light,1,2,Minor
ACC0179,2025-08-21,22:41,Clear,Dry,City Road,Medium,80,Car,21.0,Street Light,2,3,Moderate
ACC0180,2025-09-16,18:16,Foggy,Wet,Highway,Medium,80,Auto,34.0,Night,3,1,Severe
ACC0181,2025-12-25,04:28,Rainy,Dry,Highway,High,40,Truck,31.0,Night,2,1,Moderate
ACC0182,2025-07-17,03:09,Clear,Wet,City Road,Low,50,Truck,31.0,Daylight,4,1,Moderate
ACC0183,2025-05-17,23:16,Clear,Wet,City Road,Low,100,Bike,30.0,Night,1,1,Moderate
ACC0184,2025-11-14,09:16,Rainy,Icy,Rural Road,High,100,Car,24.0,Daylight,2,0,Severe
ACC0185,2025-06-14,19:23,Clear,Dry,Rural Road,Medium,50,Car,61.0,Daylight,4,0,Minor
ACC0186,2025-08-13,04:33,Cloudy,Dry,Highway,High,70,Car,32.0,Night,3,5,Severe
ACC0187,2025-11-03,05:52,Rainy,Dry,Rural Road,High,100,Car,36.0,Night,2,1,Moderate
ACC0188,2025-08-22,01:12,Rainy,Icy,Highway,High,80,Car,60.0,Daylight,3,2,Severe
ACC0189,2025-06-21,10:42,Rainy,Icy,Rural Road,High,60,Auto,64.0,Street Light,4,3,Severe
ACC0190,2025-06-01,15:10,Foggy,Dry,Rural Road,Medium,50,Bus,61.0,Daylight,3,2,Moderate
ACC0191,2025-11-11,18:46,Clear,Potholes,City Road,Low,30,Car,52.0,Daylight,4,1,Moderate
ACC0192,2025-06-09,22:54,Rainy,Dry,Rural Road,High,80,Car,34.0,Daylight,4,3,Severe
ACC0193,2025-04-06,15:30,Rainy,Wet,City Road,Medium,60,Bike,52.0,Street Light,4,2,Severe
ACC0194,2025-08-21,10:53,Clear,Dry,City Road,Low,60,Car,36.0,Night,2,3,Minor
ACC0195,2025-06-29,15:07,Cloudy,Wet,Rural Road,Medium,50,Auto,,Daylight,3,3,Moderate
ACC0196,2025-04-23,03:39,Foggy,Dry,City Road,High,60,Bike,53.0,Night,3,5,Severe
ACC0197,2025-11-14,03:55,Rainy,Potholes,City Road,Medium,50,Bike,52.0,Daylight,1,2,Moderate
ACC0198,2025-02-21,02:31,Cloudy,Wet,City Road,Medium,100,Car,49.0,Street Light,1,1,Moderate
ACC0199,2025-09-25,02:26,Cloudy,Wet,Rural Road,Medium,40,Car,65.0,Daylight,1,2,Moderate
ACC0200,2025-10-22,17:57,Foggy,Dry,City Road,Low,80,Bike,61.0,Daylight,1,0,Moderate
ACC0201,2025-04-23,18:18,Foggy,Dry,Highway,Medium,70,Bus,57.0,Street Light,3,4,Severe
ACC0202,2025-04-11,20:04,Rainy,Dry,Rural Road,Medium,40,Bike,41.0,Daylight,4,1,Moderate
ACC0203,2025-04-23,17:27,Rainy,Dry,Rural Road,Low,80,Car,34.0,Daylight,4,1,Moderate
ACC0204,2025-03-22,09:21,Rainy,Dry,Highway,High,50,Bike,24.0,Night,2,3,Moderate
ACC0205,2025-07-06,20:05,Foggy,Icy,Highway,Medium,80,Bike,60.0,No Light,4,2,Severe
ACC0206,2025-04-23,00:04,Clear,Wet,Highway,High,100,Truck,67.0,Daylight,3,1,Severe
ACC0207,2025-01-02,08:11,Cloudy,Dry,City Road,High,50,Car,18.0,Daylight,3,2,Moderate
ACC0208,2025-05-10,13:33,Cloudy,Dry,City Road,Low,40,Car,52.0,Daylight,3,4,Moderate
ACC0209,2025-08-08,16:13,Clear,Dry,Rural Road,Medium,30,Bike,49.0,Night,2,1,Minor
ACC0210,2025-02-23,12:26,Foggy,Wet,City Road,Medium,30,Bike,53.0,Daylight,1,4,Moderate
ACC0211,2025-12-09,08:25,Clear,Dry,City Road,High,80,Bike,30.0,Night,4,0,Moderate
ACC0212,2025-08-12,14:56,Clear,Potholes,City Road,Low,30,Bike,23.0,No Light,3,3,Severe
ACC0213,2025-08-13,21:46,Foggy,Dry,Rural Road,Medium,50,Bike,31.0,Daylight,3,3,Moderate
ACC0214,2025-05-06,23:29,Clear,Icy,City Road,Medium,60,Truck,54.0,Daylight,1,1,Minor
ACC0215,2025-05-10,10:47,Foggy,Potholes,Intersection,Medium,50,Bike,65.0,Daylight,3,1,Moderate
ACC0216,2025-02-22,16:25,Foggy,Dry,City Road,Low,60,Auto,32.0,Daylight,4,1,Moderate
ACC0217,2025-06-21,03:00,Rainy,Icy,Highway,Medium,40,Bike,64.0,Street Light,2,3,Moderate
ACC0218,2025-08-06,07:48,Clear,Dry,City Road,High,70,Auto,21.0,Daylight,3,2,Severe
ACC0219,2025-06-09,02:51,Clear,Potholes,City Road,Medium,60,Truck,57.0,Daylight,4,2,Moderate
ACC0220,2025-07-17,14:46,Rainy,Dry,City Road,Medium,30,Car,33.0,Night,3,1,Moderate
ACC0221,2025-09-04,23:21,Cloudy,Potholes,Highway,Medium,50,Truck,45.0,Daylight,1,1,Minor
ACC0222,2025-11-20,13:25,Rainy,Potholes,Highway,High,40,Car,33.0,Night,3,0,Severe
ACC0223,2025-07-22,22:13,Clear,Potholes,Rural Road,Low,30,Auto,21.0,Daylight,3,1,Moderate
ACC0224,2025-07-03,23:01,Rainy,Wet,Highway,High,40,Bike,62.0,Street Light,2,2,Severe
ACC0225,2025-05-03,12:25,Rainy,Dry,Rural Road,Medium,70,Car,43.0,Street Light,1,4,Moderate
ACC0226,2025-09-12,13:58,Foggy,Dry,Highway,Medium,100,Bike,45.0,Night,1,2,Moderate
ACC0227,2025-10-21,23:50,Clear,Dry,City Road,Low,50,Auto,49.0,No Light,2,1,Minor
ACC0228,2025-10-07,06:02,Foggy,Dry,City Road,Low,80,Car,62.0,Daylight,3,5,Severe
ACC0229,2025-11-21,14:22,Rainy,Wet,City Road,Medium,50,Bike,19.0,Daylight,4,3,Severe
ACC0230,2025-04-08,13:42,Cloudy,Dry,City Road,Medium,70,Bus,48.0,Night,1,4,Moderate
ACC0231,2025-07-17,14:59,Clear,Icy,Highway,High,50,Truck,20.0,Night,1,2,Moderate
ACC0232,2025-08-28,12:17,Rainy,Wet,Highway,Low,80,Bike,25.0,Daylight,3,1,Severe
ACC0233,2025-05-24,05:34,Cloudy,Potholes,City Road,Medium,60,Car,41.0,Daylight,3,0,Moderate
ACC0234,2025-04-07,18:14,Clear,Dry,City Road,Medium,40,Car,32.0,Daylight,1,3,Minor
ACC0235,2025-07-20,22:36,Cloudy,Potholes,Intersection,Low,80,Bike,60.0,Daylight,3,1,Moderate
ACC0236,2025-05-04,09:38,Rainy,Icy,Rural Road,Low,30,Bike,48.0,Daylight,4,1,Moderate
ACC0237,2025-07-06,16:38,Clear,Dry,Rural Road,Medium,70,Auto,26.0,Night,1,2,Moderate
ACC0238,2025-11-22,21:25,Clear,Wet,Rural Road,Medium,60,Car,56.0,Daylight,4,2,Moderate
ACC0239,2025-12-15,11:24,Foggy,Wet,City Road,Medium,30,Bike,62.0,Daylight,4,2,Severe
ACC0240,2025-09-16,16:12,Clear,Dry,Highway,Medium,30,Car,19.0,Night,3,1,Minor
ACC0241,2025-05-28,19:24,Rainy,Dry,Intersection,Medium,70,Car,25.0,Night,4,1,Moderate
ACC0242,2025-09-09,03:09,Clear,Dry,City Road,Low,60,Bike,24.0,Street Light,3,2,Moderate
ACC0243,2025-12-12,02:40,Rainy,Dry,City Road,Medium,100,Bike,61.0,Night,2,5,Moderate
ACC0244,2025-05-27,12:17,Clear,Dry,Highway,High,30,Bike,68.0,Daylight,3,3,Moderate
ACC0245,2025-05-28,14:35,Cloudy,Dry,City Road,Medium,30,Auto,56.0,Street Light,4,4,Moderate
